Date,Mean Observed Flux Prior Day,Mean Adjusted Flux Prior Day,Mean URSI Flux Prior Day,Variation Percentage Observed Flux Prior Day,Variation Percentage Adjusted Flux Prior Day,Variation Percentage URSI Flux Prior Day
2018-06-02,75.73333333333333,77.86666666666667,70.06666666666666,-3.3548387096774124,-3.387703889585951,-3.3472803347280413
2018-06-03,74.56666666666666,76.7,69.03333333333335,-1.198402130492665,-1.0362694300518096,-1.1510791366906434
2018-06-04,73.5,75.63333333333334,68.06666666666666,-1.4864864864864789,-1.574803149606303,-1.6034985422740444
2018-06-05,71.66666666666667,73.73333333333333,66.36666666666667,-1.5109890109890032,-1.6021361815754376,-1.4836795252225519
2018-06-06,71.0,73.10000000000001,65.8,-1.8181818181818143,-1.7663043478260834,-1.809954751131226
2018-06-07,71.13333333333333,73.23333333333333,65.89999999999999,-0.979020979020983,-0.9510869565217237,-0.9063444108761458
2018-06-08,68.96666666666667,71.03333333333333,63.93333333333334,-0.2902757619738793,-0.28169014084507443,-0.3129890453834049
2018-06-09,68.16666666666667,70.16666666666667,63.166666666666664,0.4411764705882311,0.4285714285714245,0.4761904761904716
2018-06-10,67.7,69.76666666666667,62.800000000000004,0.14684287812042368,0.14245014245013435,0.0
2018-06-11,69.93333333333334,72.10000000000001,64.86666666666666,-1.9858156028368874,-2.063273727647868,-1.9877675840978766
2018-06-12,70.33333333333333,72.5,65.26666666666667,-2.932960893854741,-2.845528455284545,-3.007518796992481
2018-06-13,70.76666666666667,73.0,65.66666666666667,-0.5617977528089967,-0.6802721088435374,-0.6051437216338752
2018-06-14,71.8,74.03333333333335,66.63333333333334,-0.8264462809917278,-0.9345794392523402,-0.8902077151335437
2018-06-15,72.23333333333333,74.5,67.06666666666666,-0.6906077348066298,-0.8032128514056338,-0.8915304606240629
2018-06-16,71.13333333333334,73.39999999999999,66.06666666666666,1.4104372355430181,1.366120218579235,1.3657056145675135
2018-06-17,70.8,73.06666666666666,65.76666666666667,-2.092050209205021,-2.027027027027027,-2.1021021021020894
2018-06-18,72.13333333333334,74.46666666666665,67.06666666666666,1.8207282913165226,1.899592944369052,1.807228915662633
2018-06-19,73.66666666666667,76.03333333333333,68.46666666666667,1.5047879616963182,1.5915119363395074,1.620029455080993
2018-06-20,76.23333333333333,78.66666666666667,70.8,3.0707610146862443,3.104786545924975,3.0172413793103576
2018-06-21,81.66666666666667,84.33333333333333,75.89999999999999,2.360248447204976,2.283653846153836,2.4064171122994615
2018-06-22,81.73333333333333,84.39999999999999,76.0,-0.6090133982947625,-0.4722550177095698,-0.5242463958060176
2018-06-23,80.43333333333334,83.06666666666666,74.76666666666667,-1.4796547472256334,-1.4336917562724047,-1.5915119363395265
2018-06-24,77.5,80.10000000000001,72.06666666666666,-0.769230769230762,-0.7444168734491244,-0.6896551724137931
2018-06-25,74.5,76.96666666666665,69.26666666666667,-1.5978695073235536,-1.6752577319587594,-1.5759312320916825
2018-06-26,73.03333333333333,75.43333333333334,67.89999999999999,-0.9523809523809563,-0.9222661396574476,-0.87847730600292
2018-06-27,71.8,74.16666666666667,66.76666666666667,-0.9655172413793143,-0.9345794392523402,-0.8902077151335437
2018-06-28,70.66666666666667,73.03333333333333,65.7,-1.9525801952580273,-2.0242914979757085,-2.0989505247376394
2018-06-29,69.96666666666667,72.33333333333333,65.10000000000001,0.0,0.1379310344827508,0.0
2018-06-30,68.66666666666667,70.96666666666667,63.86666666666667,0.5839416058394243,0.5649717514124375,0.6279434850863288
2018-07-01,68.43333333333334,70.7,63.63333333333333,0.14662756598239635,0.0,0.15772870662460792
2018-07-02,67.83333333333333,70.10000000000001,63.1,0.0,-0.14285714285713474,-0.158730158730161
2018-07-03,67.39999999999999,69.66666666666667,62.699999999999996,2.9940119760479043,2.8943560057887123,3.0595813204508833
2018-07-04,67.96666666666667,70.2,63.166666666666664,-0.14727540500737632,-0.14265335235377222,-0.15847860538827482
2018-07-05,68.33333333333333,70.63333333333334,63.56666666666666,-0.4366812227074194,-0.42253521126760163,-0.3129890453834049
2018-07-06,68.26666666666667,70.56666666666668,63.5,-0.728862973760933,-0.7052186177715091,-0.6269592476489007
2018-07-07,70.3,72.66666666666667,65.39999999999999,2.5974025974025934,2.6536312849162096,2.4806201550387508
2018-07-08,71.89999999999999,74.3,66.89999999999999,0.13927576601672498,0.13477088948786295,0.149700598802408
2018-07-09,71.43333333333332,73.83333333333333,66.43333333333332,0.7032348804500704,0.6802721088435374,0.7564296520423601
2018-07-10,72.39999999999999,74.83333333333333,67.36666666666667,-0.9655172413793143,-0.9345794392523402,-0.8902077151335437
2018-07-11,71.86666666666666,74.26666666666667,66.83333333333333,1.544943820224711,1.494565217391316,1.357466063348425
2018-07-12,73.16666666666667,75.60000000000001,68.06666666666666,0.0,0.0,0.0
2018-07-13,72.2,74.63333333333333,67.2,-0.4143646408839936,-0.40106951871657376,-0.44510385756678245
